INFO 2023-08-30 08:34:04,737 autoreload 21240 20120 Watching for file changes with StatReloader
INFO 2023-08-30 15:24:22,706 basehttp 12136 5856 "GET /static/images/5.jpg HTTP/1.1" 304 0
INFO 2023-08-30 15:24:22,718 basehttp 12136 22560 "GET /static/images/22.jpg HTTP/1.1" 304 0
INFO 2023-08-30 15:24:22,718 basehttp 12136 19880 "GET /static/images/23.jpg HTTP/1.1" 304 0
INFO 2023-08-30 15:24:22,719 basehttp 12136 24092 "GET /static/images/20.jpg HTTP/1.1" 304 0
INFO 2023-08-30 15:24:22,719 basehttp 12136 5856 "GET /static/images/pannier.png HTTP/1.1" 304 0
INFO 2023-08-30 15:24:22,719 basehttp 12136 21172 "GET /static/images/24.jpg HTTP/1.1" 304 0
INFO 2023-08-30 15:24:22,720 basehttp 12136 15904 "GET /static/images/25.jpg HTTP/1.1" 304 0
INFO 2023-08-30 15:24:22,737 basehttp 12136 21172 "GET /static/images/21.jpg HTTP/1.1" 304 0
INFO 2023-08-30 15:24:22,738 basehttp 12136 24092 "GET /static/images/27.jpg HTTP/1.1" 304 0
INFO 2023-08-30 15:24:22,738 basehttp 12136 5856 "GET /static/images/vk.png HTTP/1.1" 304 0
INFO 2023-08-30 15:24:22,738 basehttp 12136 15904 "GET /static/images/26.jpg HTTP/1.1" 304 0
INFO 2023-08-30 15:24:22,739 basehttp 12136 19880 "GET /static/images/exposure.png HTTP/1.1" 304 0
INFO 2023-08-30 15:24:22,745 basehttp 12136 19880 "GET /static/images/pointer.png HTTP/1.1" 304 0
WARNING 2023-08-30 15:24:22,749 log 12136 22560 Not Found: /js/jquery.flexslider.js
WARNING 2023-08-30 15:24:22,751 basehttp 12136 22560 "GET /js/jquery.flexslider.js HTTP/1.1" 404 2995
INFO 2023-08-30 15:26:48,760 views 12136 19880 Index page accessed
INFO 2023-08-30 15:26:48,763 basehttp 12136 19880 "GET / HTTP/1.1" 200 28095
WARNING 2023-08-30 15:26:48,799 log 12136 19880 Not Found: /js/jquery.flexslider.js
WARNING 2023-08-30 15:26:48,801 basehttp 12136 19880 "GET /js/jquery.flexslider.js HTTP/1.1" 404 2995
INFO 2023-08-30 15:26:50,498 views 12136 15904 Index page accessed
INFO 2023-08-30 15:26:50,501 basehttp 12136 15904 "GET / HTTP/1.1" 200 28095
WARNING 2023-08-30 15:26:50,533 log 12136 15904 Not Found: /js/jquery.flexslider.js
WARNING 2023-08-30 15:26:50,535 basehttp 12136 15904 "GET /js/jquery.flexslider.js HTTP/1.1" 404 2995
INFO 2023-08-30 15:27:33,029 autoreload 23092 22264 Watching for file changes with StatReloader
INFO 2023-08-30 15:28:00,277 views 23092 372 Index page accessed
INFO 2023-08-30 15:28:00,295 basehttp 23092 372 "GET / HTTP/1.1" 200 28095
INFO 2023-08-30 15:28:00,856 basehttp 23092 14496 "GET /static/css/flexslider.css HTTP/1.1" 200 6955
INFO 2023-08-30 15:28:00,890 basehttp 23092 22576 "GET /static/css/style.css HTTP/1.1" 200 15971
INFO 2023-08-30 15:28:00,892 basehttp 23092 13380 "GET /static/js/script.js HTTP/1.1" 200 92
INFO 2023-08-30 15:28:00,907 basehttp 23092 8368 "GET /static/megamenu/css/style.css HTTP/1.1" 200 5569
INFO 2023-08-30 15:28:00,920 basehttp 23092 13380 "GET /static/js/main.js HTTP/1.1" 200 103
INFO 2023-08-30 15:28:00,933 basehttp 23092 22576 "GET /static/megamenu/js/megamenu.js HTTP/1.1" 200 1799
INFO 2023-08-30 15:28:00,949 basehttp 23092 22600 "GET /static/css/easydropdown.css HTTP/1.1" 200 3763
INFO 2023-08-30 15:28:00,950 basehttp 23092 14496 "GET /static/js/jquery.easydropdown.js HTTP/1.1" 200 12390
INFO 2023-08-30 15:28:00,962 basehttp 23092 372 "GET /static/megamenu/css/ionicons.min.css HTTP/1.1" 200 51319
INFO 2023-08-30 15:28:00,968 basehttp 23092 8368 "GET /static/images/entrance.png HTTP/1.1" 200 1147
INFO 2023-08-30 15:28:00,982 basehttp 23092 22576 "GET /static/images/basket.png HTTP/1.1" 200 1452
INFO 2023-08-30 15:28:00,992 basehttp 23092 13380 "GET /static/images/logo.png HTTP/1.1" 200 16765
INFO 2023-08-30 15:28:01,009 basehttp 23092 14496 "GET /static/images/material.png HTTP/1.1" 200 6102
INFO 2023-08-30 15:28:01,139 basehttp 23092 22600 "GET /static/images/1963.jpg HTTP/1.1" 200 136757
INFO 2023-08-30 15:28:01,152 basehttp 23092 8368 "GET /static/images/packaging.png HTTP/1.1" 200 7180
